name,sku,barcode,category,base_price,stock_quantity,min_stock_threshold
Wooden Stool,SKU-FUR-004,84738292042,Furniture,1200,50,10
Frying Pan 24cm,SKU-HOM-001,84738292138,Home & Kitchen,1500,60,15
Plates Set (6 Pcs),SKU-HOM-SET-1,84738292139,Home & Kitchen,900,80,20
Glass Cups Dozen (12 Pcs),SKU-HOM-DOZ-1,84738292140,Home & Kitchen,1200,50,10
Plastic Basin,SKU-HOM-002,84738292141,Home & Kitchen,300,150,30
Thermos Flask 1L,SKU-HOM-003,84738292142,Home & Kitchen,1800,40,10
Cutlery Set (24 Pcs),SKU-HOM-SET-2,84738292143,Home & Kitchen,2500,30,5
Kitchen Towels (Pack of 3),SKU-HOM-PCK-1,84738292144,Home & Kitchen,400,100,20
Mens T-Shirt,SKU-CLO-001,84738292238,Clothing & Fashion,600,150,30
Womens Socks (Pack of 3),SKU-CLO-PCK-1,84738292239,Clothing & Fashion,350,200,40
Umbrella,SKU-CLO-002,84738292240,Clothing & Fashion,500,100,20
Kids T-Shirt Box (10 Pcs),SKU-CLO-BOX-1,84738292241,Clothing & Fashion,5000,30,5
Notebook A4,SKU-STA-001,84738292338,Stationery & Office,150,300,50
Pens Box (50 Pcs),SKU-STA-BOX-1,84738292339,Stationery & Office,1200,80,15
Pencils Dozen (12 Pcs),SKU-STA-DOZ-1,84738292340,Stationery & Office,200,150,30
Printer Paper Ream,SKU-STA-002,84738292341,Stationery & Office,650,200,40
Stapler,SKU-STA-003,84738292342,Stationery & Office,350,80,15
Playing Cards,SKU-TOY-001,84738292438,Toys & Games,150,200,40
Puzzle (100 Pcs),SKU-TOY-002,84738292439,Toys & Games,800,60,10
Toy Cars Box (12 Pcs),SKU-TOY-BOX-1,84738292440,Toys & Games,2400,40,10
Building Blocks Set,SKU-TOY-SET-1,84738292441,Toys & Games,1500,50,10
Car Wash Shampoo 1L,SKU-AUT-001,84738292538,Automotive,450,100,20
Microfiber Cloth (Pack of 3),SKU-AUT-PCK-1,84738292539,Automotive,350,120,25
Air Freshener,SKU-AUT-002,84738292540,Automotive,250,150,30
Engine Oil 4L,SKU-AUT-003,84738292541,Automotive,3500,40,10
Gardening Gloves,SKU-GAR-001,84738292638,Garden & Outdoor,300,100,20
Watering Can,SKU-GAR-002,84738292639,Garden & Outdoor,450,80,15
Fertilizer 1kg,SKU-GAR-003,84738292640,Garden & Outdoor,250,150,30
Charcoal Bag 5kg,SKU-GAR-BAG-1,84738292641,Garden & Outdoor,600,100,20
Hose Pipe 10m,SKU-GAR-004,84738292642,Garden & Outdoor,1200,50,10
Lentils 1kg,SKU-GRO-007,84738291046,Groceries,200,150,20
Beans 1kg,SKU-GRO-008,84738291047,Groceries,220,120,20
Spaghetti 500g,SKU-GRO-009,84738291048,Groceries,120,200,40
Tea Leaves 250g,SKU-GRO-010,84738291049,Groceries,180,180,30
Carrots 1kg,SKU-FRE-008,84738291146,Fresh Foods,150,80,15
Oranges 1kg,SKU-FRE-009,84738291147,Fresh Foods,200,100,20
Cabbage 1pc,SKU-FRE-010,84738291148,Fresh Foods,80,150,30
Potatoes 2kg,SKU-FRE-011,84738291149,Fresh Foods,250,120,20
Energy Drink 250ml,SKU-BEV-006,84738291246,Beverages,150,200,40
Coffee 250g,SKU-BEV-007,84738291247,Beverages,450,100,20
Cookies Pack,SKU-SNA-PCK-1,84738291344,Snacks & Confectionery,120,150,30
Popcorn 100g,SKU-SNA-005,84738291345,Snacks & Confectionery,80,180,30
Broom,SKU-HOU-005,84738291444,Household & Cleaning,250,100,20
Mop,SKU-HOU-006,84738291445,Household & Cleaning,350,80,15
Deodorant Spray,SKU-PER-005,84738291544,Personal Care & Beauty,400,120,20
Hair Gel 200g,SKU-PER-006,84738291545,Personal Care & Beauty,250,100,20
Cough Syrup 100ml,SKU-HEA-006,84738291645,Health & Pharmacy,450,80,15
Baby Shampoo 200ml,SKU-BAB-006,84738291743,Baby Products,350,100,20
Pacifier (Pack of 2),SKU-BAB-PCK-1,84738291744,Baby Products,250,80,15
Bird Seed 1kg,SKU-PET-005,84738291842,Pet Supplies,300,50,10
Dog Biscuits 500g,SKU-PET-006,84738291843,Pet Supplies,450,60,15
Dog Collar,SKU-PET-007,84738291844,Pet Supplies,500,40,10
Pet Toy,SKU-PET-008,84738291845,Pet Supplies,350,80,15
Earphones,SKU-ELE-006,84738291944,Electronics,800,100,20
Flash Drive 32GB,SKU-ELE-007,84738291945,Electronics,1200,80,15
Office Chair,SKU-FUR-005,84738292043,Furniture,8500,20,5
Bookshelf (3 Tier),SKU-FUR-006,84738292044,Furniture,6500,15,3
Cooking Spoon,SKU-HOM-004,84738292145,Home & Kitchen,250,120,20
Canvas Belt,SKU-CLO-003,84738292242,Clothing & Fashion,450,100,20
Slippers (Pair),SKU-CLO-004,84738292243,Clothing & Fashion,300,150,30
Cap,SKU-CLO-005,84738292244,Clothing & Fashion,350,120,20
Erasers (Pack of 5),SKU-STA-PCK-1,84738292343,Stationery & Office,100,200,40
Paper Clips Box,SKU-STA-BOX-2,84738292344,Stationery & Office,150,150,30
Markers Set (4 Colors),SKU-STA-SET-1,84738292345,Stationery & Office,350,100,20
Toy Car,SKU-TOY-003,84738292442,Toys & Games,400,120,20
Doll,SKU-TOY-004,84738292443,Toys & Games,600,80,15
Board Game,SKU-TOY-005,84738292444,Toys & Games,1200,50,10
Jumper Cables,SKU-AUT-004,84738292542,Automotive,1500,30,5
Tire Foam,SKU-AUT-005,84738292543,Automotive,600,60,10
Car Polish 500ml,SKU-AUT-006,84738292544,Automotive,800,50,10
Pruning Shears,SKU-GAR-005,84738292643,Garden & Outdoor,750,40,10
Flower Pot,SKU-GAR-006,84738292644,Garden & Outdoor,350,100,20
BBQ Grill Small,SKU-GAR-007,84738292645,Garden & Outdoor,3500,15,3
